Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
139,Mateus Cocão,br BRA,MF,Vasco da Gama,23-217,2002,5.4,16,8,7,9,0,8,16,50.0,8,1,1,0,8,24,11,2,Matches
140,Igor Coronado,br BRA,MF,Corinthians,33-064,1992,3.8,7,1,1,3,3,4,8,50.0,4,3,1,2,2,9,2,0,Matches
141,Joaquín Correa,ar ARG,MF,Botafogo (RJ),31-069,1994,6.2,6,4,1,5,0,0,9,0.0,9,4,0,4,0,6,0,0,Matches
142,Francisco da Costa,br BRA,FW,Mirassol,30-169,1995,9.2,2,1,0,1,1,0,3,0.0,3,3,2,1,1,3,10,0,Matches
143,Philippe Coutinho,br BRA,MF,Vasco da Gama,33-131,1992,20.1,17,6,6,6,5,9,20,45.0,11,12,2,10,7,24,6,0,Matches
144,Lucas Crispim,br BRA,MF,Fortaleza,31-124,1994,2.4,1,0,0,0,1,1,1,100.0,0,3,0,3,0,1,1,0,Matches
145,Franco Cristaldo,ar ARG,"MF,FW",Grêmio,29-067,1996,10.2,15,9,5,7,3,9,19,47.4,10,9,2,7,2,17,12,1,Matches
146,Gustavo Cuellar,co COL,MF,Grêmio,33-007,1992,6.3,21,13,12,7,2,10,22,45.5,12,7,0,7,7,28,13,2,Matches
147,Tomás Cuello,ar ARG,"FW,MF",Atlético Mineiro,25-230,2000,13.2,25,15,8,9,8,9,16,56.3,7,5,2,3,7,32,7,0,Matches
148,Carlos Cuesta,co COL,DF,Vasco da Gama,26-226,1999,5.3,10,7,9,1,0,5,7,71.4,2,3,2,1,8,18,31,1,Matches
149,Cuiabano,br BRA,"DF,MF",Botafogo (RJ),22-247,2003,12.2,22,17,12,7,3,9,18,50.0,9,16,4,12,17,39,22,1,Matches
150,Jair Cunha,br BRA,DF,Botafogo (RJ),20-228,2005,11.0,14,11,10,4,0,8,12,66.7,4,9,6,3,11,25,63,2,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
